C,Tick,D,O,H,L,A,V
0.385,1758643200,2025-09-24 00:00:00,0.378,0.386,0.378,566557100,14807880
0.379,1758556800,2025-09-23 00:00:00,0.386,0.387,0.373,846173800,22348470
0.386,1758470400,2025-09-22 00:00:00,0.389,0.393,0.384,544881500,14068710
0.388,1758211200,2025-09-19 00:00:00,0.391,0.395,0.385,806709800,20718480
0.392,1758124800,2025-09-18 00:00:00,0.397,0.4,0.388,929977000,23537780
0.397,1758038400,2025-09-17 00:00:00,0.397,0.399,0.393,723735300,18268270
0.397,1757952000,2025-09-16 00:00:00,0.396,0.398,0.392,621037400,15709820
0.395,1757865600,2025-09-15 00:00:00,0.393,0.398,0.392,623913700,15789320
0.393,1757606400,2025-09-12 00:00:00,0.394,0.397,0.389,793088200,20185570
0.395,1757520000,2025-09-11 00:00:00,0.386,0.395,0.379,949717000,24572510
0.392,1757433600,2025-09-10 00:00:00,0.391,0.397,0.39,658948700,16749030
0.392,1757347200,2025-09-09 00:00:00,0.4,0.402,0.389,945789600,23947130
0.402,1757260800,2025-09-08 00:00:00,0.388,0.403,0.387,1427015000,35827530
0.387,1757001600,2025-09-05 00:00:00,0.376,0.388,0.373,906183700,23766960
0.376,1756915200,2025-09-04 00:00:00,0.389,0.391,0.371,1154930000,30344310
0.388,1756828800,2025-09-03 00:00:00,0.393,0.396,0.387,823685800,21062070
0.393,1756742400,2025-09-02 00:00:00,0.398,0.401,0.388,970783200,24598990
0.397,1756656000,2025-09-01 00:00:00,0.386,0.397,0.386,1147470000,29239280
0.387,1756396800,2025-08-29 00:00:00,0.381,0.389,0.38,920914300,23959420
0.382,1756310400,2025-08-28 00:00:00,0.379,0.382,0.37,1167129000,30925740
0.38,1756224000,2025-08-27 00:00:00,0.388,0.393,0.38,1083238000,27953810
0.388,1756137600,2025-08-26 00:00:00,0.392,0.393,0.387,802407400,20594930
0.393,1756051200,2025-08-25 00:00:00,0.385,0.393,0.384,1085484000,27880200
0.385,1755792000,2025-08-22 00:00:00,0.382,0.385,0.38,768989600,20134440
0.382,1755705600,2025-08-21 00:00:00,0.38,0.384,0.379,758171000,19834350
0.38,1755619200,2025-08-20 00:00:00,0.376,0.38,0.372,766247000,20364290
0.378,1755532800,2025-08-19 00:00:00,0.383,0.388,0.377,983030500,25657450
0.381,1755446400,2025-08-18 00:00:00,0.38,0.383,0.379,743403500,19512610
0.378,1755187200,2025-08-15 00:00:00,0.372,0.379,0.372,637748900,16948830
0.374,1755100800,2025-08-14 00:00:00,0.38,0.382,0.372,1004811000,26675300
0.379,1755014400,2025-08-13 00:00:00,0.374,0.38,0.371,788996200,20961110
0.373,1754928000,2025-08-12 00:00:00,0.372,0.378,0.37,768446800,20533200
0.372,1754841600,2025-08-11 00:00:00,0.365,0.373,0.365,619711700,16758060
0.366,1754582400,2025-08-08 00:00:00,0.368,0.37,0.363,652007300,17784310
0.369,1754496000,2025-08-07 00:00:00,0.367,0.375,0.366,874861700,23614770
0.368,1754409600,2025-08-06 00:00:00,0.368,0.371,0.366,668648800,18194080
0.368,1754323200,2025-08-05 00:00:00,0.369,0.371,0.365,812269300,22108330
0.367,1754236800,2025-08-04 00:00:00,0.364,0.368,0.359,748962400,20611760
0.367,1753977600,2025-08-01 00:00:00,0.369,0.376,0.365,907498200,24558750
0.369,1753891200,2025-07-31 00:00:00,0.373,0.378,0.368,1019536000,27340020
0.375,1753804800,2025-07-30 00:00:00,0.375,0.382,0.371,1171283000,31055680
0.377,1753718400,2025-07-29 00:00:00,0.369,0.378,0.365,1152192000,30948260
0.368,1753632000,2025-07-28 00:00:00,0.367,0.369,0.366,697524700,18961220
0.367,1753372800,2025-07-25 00:00:00,0.364,0.373,0.362,1183380000,32140250
0.364,1753286400,2025-07-24 00:00:00,0.353,0.365,0.353,1126503000,31417980
0.354,1753200000,2025-07-23 00:00:00,0.351,0.358,0.35,1051895000,29639970
0.35,1753113600,2025-07-22 00:00:00,0.348,0.353,0.347,723851800,20674240
0.348,1753027200,2025-07-21 00:00:00,0.348,0.349,0.344,578844500,16690950
0.348,1752768000,2025-07-18 00:00:00,0.345,0.348,0.344,527379900,15258630
0.345,1752681600,2025-07-17 00:00:00,0.34,0.345,0.339,574378800,16793220
0.341,1752595200,2025-07-16 00:00:00,0.34,0.342,0.338,424088000,12476650
0.339,1752508800,2025-07-15 00:00:00,0.339,0.342,0.335,545541900,16147100
0.34,1752422400,2025-07-14 00:00:00,0.341,0.342,0.338,497847900,14652550
0.341,1752163200,2025-07-11 00:00:00,0.335,0.343,0.335,934557700,27515550
0.335,1752076800,2025-07-10 00:00:00,0.332,0.336,0.331,524720200,15720180
0.333,1751990400,2025-07-09 00:00:00,0.332,0.336,0.331,543378200,16291020
0.332,1751904000,2025-07-08 00:00:00,0.329,0.333,0.328,433393100,13071420
0.329,1751817600,2025-07-07 00:00:00,0.332,0.333,0.328,412460600,12497850
0.332,1751558400,2025-07-04 00:00:00,0.331,0.334,0.33,417268700,12563020
0.332,1751472000,2025-07-03 00:00:00,0.331,0.333,0.33,355820200,10730110
0.331,1751385600,2025-07-02 00:00:00,0.333,0.335,0.33,398767100,12014920
0.333,1751299200,2025-07-01 00:00:00,0.331,0.334,0.33,484140700,14546930
0.331,1751212800,2025-06-30 00:00:00,0.326,0.331,0.324,601744800,18318080
0.326,1750953600,2025-06-27 00:00:00,0.325,0.329,0.324,690318300,21143390
0.325,1750867200,2025-06-26 00:00:00,0.328,0.329,0.324,496183900,15206870
0.328,1750780800,2025-06-25 00:00:00,0.325,0.328,0.322,602472400,18521700
0.324,1750694400,2025-06-24 00:00:00,0.321,0.324,0.32,391483300,12122040
0.321,1750608000,2025-06-23 00:00:00,0.318,0.322,0.317,542008800,16961980
0.319,1750348800,2025-06-20 00:00:00,0.319,0.321,0.318,322171700,10090040
0.32,1750262400,2025-06-19 00:00:00,0.324,0.325,0.318,590948800,18433220
0.324,1750176000,2025-06-18 00:00:00,0.326,0.327,0.322,442755700,13678370
0.327,1750089600,2025-06-17 00:00:00,0.33,0.334,0.326,561197600,17030880
0.329,1750003200,2025-06-16 00:00:00,0.33,0.332,0.328,460847700,13982140
0.331,1749744000,2025-06-13 00:00:00,0.336,0.339,0.331,594122496,17798640
0.336,1749657600,2025-06-12 00:00:00,0.334,0.337,0.332,453077280,13510013
0.334,1749571200,2025-06-11 00:00:00,0.334,0.338,0.334,491877216,14667182
0.334,1749484800,2025-06-10 00:00:00,0.335,0.339,0.332,606433216,18082408
0.335,1749398400,2025-06-09 00:00:00,0.331,0.338,0.33,589402368,17586836
0.33,1749139200,2025-06-06 00:00:00,0.332,0.333,0.329,366151840,11081824
0.333,1749052800,2025-06-05 00:00:00,0.334,0.335,0.33,411214400,12383489
0.334,1748966400,2025-06-04 00:00:00,0.333,0.335,0.331,416074944,12488518
0.332,1748880000,2025-06-03 00:00:00,0.327,0.333,0.326,488801952,14765433
0.328,1748534400,2025-05-30 00:00:00,0.328,0.332,0.327,494191648,14999469
0.329,1748448000,2025-05-29 00:00:00,0.323,0.33,0.322,664758912,20306358
0.322,1748361600,2025-05-28 00:00:00,0.325,0.325,0.322,323491936,10006753
0.324,1748275200,2025-05-27 00:00:00,0.323,0.326,0.322,417034144,12855782
0.323,1748188800,2025-05-26 00:00:00,0.325,0.326,0.322,469597856,14504983
0.326,1747929600,2025-05-23 00:00:00,0.324,0.33,0.323,981532672,29973246
0.324,1747843200,2025-05-22 00:00:00,0.326,0.326,0.322,431191232,13304413
0.326,1747756800,2025-05-21 00:00:00,0.324,0.328,0.324,432622784,13256123
0.325,1747670400,2025-05-20 00:00:00,0.322,0.326,0.321,481712928,14864959
0.321,1747584000,2025-05-19 00:00:00,0.322,0.322,0.319,457651776,14283840
0.322,1747324800,2025-05-16 00:00:00,0.323,0.325,0.321,331751296,10279946
0.324,1747238400,2025-05-15 00:00:00,0.327,0.327,0.324,364430688,11213563
0.327,1747152000,2025-05-14 00:00:00,0.326,0.329,0.324,433852192,13307597
0.326,1747065600,2025-05-13 00:00:00,0.324,0.328,0.323,676775424,20797956
0.321,1746979200,2025-05-12 00:00:00,0.321,0.322,0.319,438705856,13679898
0.32,1746720000,2025-05-09 00:00:00,0.322,0.322,0.319,258280768,8071748
0.322,1746633600,2025-05-08 00:00:00,0.32,0.323,0.319,320486944,9963817
0.321,1746547200,2025-05-07 00:00:00,0.325,0.326,0.318,500502592,15580638
0.322,1746460800,2025-05-06 00:00:00,0.319,0.322,0.317,473003264,14768553
0.317,1745942400,2025-04-30 00:00:00,0.315,0.319,0.315,383775072,12102200
0.315,1745856000,2025-04-29 00:00:00,0.312,0.317,0.311,550001536,17465728
0.312,1745769600,2025-04-28 00:00:00,0.313,0.313,0.31,433582000,13911680
0.314,1745510400,2025-04-25 00:00:00,0.314,0.317,0.313,736237800,23402380
0.313,1745424000,2025-04-24 00:00:00,0.313,0.317,0.311,479624300,15280860
0.313,1745337600,2025-04-23 00:00:00,0.315,0.317,0.312,733801000,23397260
0.313,1745251200,2025-04-22 00:00:00,0.313,0.315,0.311,572622000,18260240
0.312,1745164800,2025-04-21 00:00:00,0.31,0.314,0.308,488628700,15680590
0.31,1744905600,2025-04-18 00:00:00,0.31,0.313,0.309,413632600,13337240
0.31,1744819200,2025-04-17 00:00:00,0.308,0.313,0.308,377743600,12150060
0.31,1744732800,2025-04-16 00:00:00,0.312,0.312,0.306,597034900,19328320
0.314,1744646400,2025-04-15 00:00:00,0.314,0.315,0.311,381281700,12190580
0.315,1744560000,2025-04-14 00:00:00,0.317,0.319,0.314,499117500,15774590
0.315,1744300800,2025-04-11 00:00:00,0.312,0.317,0.311,592255000,18848740
0.315,1744214400,2025-04-10 00:00:00,0.313,0.319,0.313,733103100,23220240
0.309,1744128000,2025-04-09 00:00:00,0.302,0.31,0.296,843591200,27782150
0.308,1744041600,2025-04-08 00:00:00,0.306,0.314,0.304,707209500,22962780
0.305,1743955200,2025-04-07 00:00:00,0.324,0.326,0.303,1381428000,44033980
0.337,1743609600,2025-04-03 00:00:00,0.339,0.343,0.335,684431800,20230160
0.342,1743523200,2025-04-02 00:00:00,0.344,0.345,0.34,427457200,12479520
0.344,1743436800,2025-04-01 00:00:00,0.338,0.349,0.337,906399600,26317680
0.337,1743350400,2025-03-31 00:00:00,0.34,0.341,0.334,602818200,17889610
0.342,1743091200,2025-03-28 00:00:00,0.344,0.348,0.341,584222200,16979430
0.345,1743004800,2025-03-27 00:00:00,0.339,0.345,0.336,599573800,17565430
0.34,1742918400,2025-03-26 00:00:00,0.342,0.343,0.339,440082100,12922290
0.342,1742832000,2025-03-25 00:00:00,0.341,0.343,0.339,409719700,12012520
0.341,1742745600,2025-03-24 00:00:00,0.343,0.345,0.337,616899400,18112880
0.344,1742486400,2025-03-21 00:00:00,0.349,0.35,0.342,675688000,19561630
0.35,1742400000,2025-03-20 00:00:00,0.355,0.355,0.349,549284200,15626090
0.356,1742313600,2025-03-19 00:00:00,0.355,0.358,0.353,478136300,13456070
0.356,1742227200,2025-03-18 00:00:00,0.355,0.361,0.353,792547500,22160360
0.352,1742140800,2025-03-17 00:00:00,0.354,0.354,0.349,612729300,17426260
0.353,1741881600,2025-03-14 00:00:00,0.344,0.353,0.343,868530000,24867740
0.343,1741795200,2025-03-13 00:00:00,0.346,0.348,0.341,544603900,15849840
0.346,1741708800,2025-03-12 00:00:00,0.35,0.353,0.346,515178400,14772400
0.349,1741622400,2025-03-11 00:00:00,0.345,0.351,0.345,532592900,15288170
0.35,1741536000,2025-03-10 00:00:00,0.355,0.358,0.347,774870800,22064020
0.348,1741276800,2025-03-07 00:00:00,0.351,0.352,0.346,669265600,19156780
0.352,1741190400,2025-03-06 00:00:00,0.347,0.354,0.346,904309600,25768910
0.345,1741104000,2025-03-05 00:00:00,0.349,0.35,0.342,561886900,16289170
0.35,1741017600,2025-03-04 00:00:00,0.343,0.35,0.342,538808800,15543370
0.346,1740931200,2025-03-03 00:00:00,0.342,0.352,0.341,669770700,19294990
0.341,1740672000,2025-02-28 00:00:00,0.35,0.354,0.341,775788200,22347940
0.352,1740585600,2025-02-27 00:00:00,0.351,0.355,0.347,690319700,19658430
0.353,1740499200,2025-02-26 00:00:00,0.35,0.353,0.348,765437400,21853350
0.35,1740412800,2025-02-25 00:00:00,0.35,0.354,0.348,800344500,22788320
0.355,1740326400,2025-02-24 00:00:00,0.363,0.364,0.353,1037801000,29037540
0.363,1740067200,2025-02-21 00:00:00,0.361,0.365,0.357,1065121000,29482920
0.36,1739980800,2025-02-20 00:00:00,0.349,0.362,0.349,1348335000,37611470
0.349,1739894400,2025-02-19 00:00:00,0.343,0.351,0.34,743684200,21455670
0.344,1739808000,2025-02-18 00:00:00,0.353,0.353,0.343,1008770000,29032400
0.355,1739721600,2025-02-17 00:00:00,0.355,0.363,0.352,1386366000,38786010
0.349,1739462400,2025-02-14 00:00:00,0.334,0.352,0.333,1437760000,41664860
0.334,1739376000,2025-02-13 00:00:00,0.334,0.338,0.333,526630100,15714740
0.335,1739289600,2025-02-12 00:00:00,0.332,0.336,0.33,454644100,13660910
0.333,1739203200,2025-02-11 00:00:00,0.338,0.339,0.331,583036500,17492720
0.338,1739116800,2025-02-10 00:00:00,0.329,0.338,0.327,926573100,27784510
0.328,1738857600,2025-02-07 00:00:00,0.319,0.331,0.318,874108200,26850960
0.32,1738771200,2025-02-06 00:00:00,0.313,0.32,0.31,584525400,18528230
0.312,1738684800,2025-02-05 00:00:00,0.313,0.315,0.31,338286400,10816160
0.312,1737907200,2025-01-27 00:00:00,0.313,0.315,0.311,303300400,9691158
0.313,1737648000,2025-01-24 00:00:00,0.31,0.314,0.309,360946400,11580020
0.311,1737561600,2025-01-23 00:00:00,0.312,0.315,0.31,365710300,11708930
0.31,1737475200,2025-01-22 00:00:00,0.311,0.312,0.307,330099900,10692990
0.313,1737388800,2025-01-21 00:00:00,0.315,0.316,0.309,343735300,11020410
0.314,1737302400,2025-01-20 00:00:00,0.313,0.318,0.312,462346100,14675170
0.311,1737043200,2025-01-17 00:00:00,0.31,0.313,0.308,370471700,11945210
0.311,1736956800,2025-01-16 00:00:00,0.311,0.316,0.309,482238100,15465270
0.311,1736870400,2025-01-15 00:00:00,0.313,0.314,0.309,343305700,11052310
0.315,1736784000,2025-01-14 00:00:00,0.306,0.315,0.306,562540000,18079070
0.305,1736697600,2025-01-13 00:00:00,0.302,0.307,0.301,367754500,12065320
0.304,1736438400,2025-01-10 00:00:00,0.308,0.31,0.303,379932800,12394120
0.307,1736352000,2025-01-09 00:00:00,0.308,0.312,0.307,307682900,9955686
0.31,1736265600,2025-01-08 00:00:00,0.312,0.313,0.304,491267000,15948570
0.313,1736179200,2025-01-07 00:00:00,0.316,0.316,0.308,509105800,16351940
0.316,1736092800,2025-01-06 00:00:00,0.316,0.32,0.314,426276900,13477700
0.315,1735833600,2025-01-03 00:00:00,0.319,0.322,0.313,456044300,14332240
0.318,1735747200,2025-01-02 00:00:00,0.326,0.328,0.316,759357700,23560790
0.327,1735574400,2024-12-31 00:00:00,0.333,0.334,0.326,617312400,18719570
0.333,1735488000,2024-12-30 00:00:00,0.334,0.336,0.332,473700500,14193620
0.335,1735228800,2024-12-27 00:00:00,0.335,0.337,0.332,395968800,11843320
0.334,1735142400,2024-12-26 00:00:00,0.335,0.337,0.334,331840200,9905843
0.335,1735056000,2024-12-25 00:00:00,0.341,0.342,0.334,517275800,15353580
0.339,1734969600,2024-12-24 00:00:00,0.335,0.339,0.334,356742100,10574100
0.335,1734883200,2024-12-23 00:00:00,0.338,0.339,0.334,458687400,13643380
0.339,1734624000,2024-12-20 00:00:00,0.338,0.342,0.337,288911000,8506807
0.339,1734537600,2024-12-19 00:00:00,0.338,0.34,0.335,418371600,12385090
0.341,1734451200,2024-12-18 00:00:00,0.341,0.343,0.339,316240300,9275029
0.34,1734364800,2024-12-17 00:00:00,0.343,0.344,0.339,426764800,12511440
0.344,1734278400,2024-12-16 00:00:00,0.346,0.348,0.342,381383700,11087240
0.348,1734019200,2024-12-13 00:00:00,0.355,0.356,0.347,612700300,17484830
0.358,1733932800,2024-12-12 00:00:00,0.355,0.358,0.352,751252100,21179990
0.355,1733846400,2024-12-11 00:00:00,0.352,0.357,0.352,397207800,11199510
0.354,1733760000,2024-12-10 00:00:00,0.365,0.367,0.352,865754200,24107210
0.352,1733673600,2024-12-09 00:00:00,0.357,0.359,0.351,631152100,17803400
0.353,1733414400,2024-12-06 00:00:00,0.342,0.355,0.341,917908600,26312260
0.341,1733328000,2024-12-05 00:00:00,0.341,0.344,0.339,321014700,9412784
0.342,1733241600,2024-12-04 00:00:00,0.346,0.346,0.34,462911200,13510790
0.346,1733155200,2024-12-03 00:00:00,0.347,0.348,0.343,455435600,13179100
0.348,1733068800,2024-12-02 00:00:00,0.342,0.349,0.34,595641500,17209730
0.341,1732809600,2024-11-29 00:00:00,0.335,0.344,0.334,636705600,18748210
0.335,1732723200,2024-11-28 00:00:00,0.339,0.34,0.334,441421200,13123870
0.34,1732636800,2024-11-27 00:00:00,0.333,0.34,0.33,516942000,15438460
0.334,1732550400,2024-11-26 00:00:00,0.333,0.339,0.332,393090800,11715390
0.334,1732464000,2024-11-25 00:00:00,0.335,0.339,0.33,513124500,15362250
0.335,1732204800,2024-11-22 00:00:00,0.349,0.35,0.334,883661700,25879800
0.35,1732118400,2024-11-21 00:00:00,0.353,0.353,0.348,682891000,19501110
0.354,1732032000,2024-11-20 00:00:00,0.346,0.356,0.345,877687900,24926700
0.347,1731945600,2024-11-19 00:00:00,0.343,0.347,0.338,607583600,17704710
0.342,1731859200,2024-11-18 00:00:00,0.347,0.35,0.339,687343400,19928180
0.348,1731600000,2024-11-15 00:00:00,0.355,0.358,0.347,729544300,20675520
0.357,1731513600,2024-11-14 00:00:00,0.367,0.368,0.356,723093500,19988670
0.369,1731427200,2024-11-13 00:00:00,0.371,0.376,0.364,850571700,23081860
0.374,1731340800,2024-11-12 00:00:00,0.369,0.384,0.368,1417722000,37567780
0.369,1731254400,2024-11-11 00:00:00,0.359,0.369,0.357,850244500,23361050
0.364,1730995200,2024-11-08 00:00:00,0.371,0.372,0.361,1048937000,28651550
0.365,1730908800,2024-11-07 00:00:00,0.348,0.365,0.346,1028720000,28810490
0.351,1730822400,2024-11-06 00:00:00,0.352,0.358,0.349,849688100,24056110
0.352,1730736000,2024-11-05 00:00:00,0.341,0.353,0.338,998246800,28742950
0.342,1730649600,2024-11-04 00:00:00,0.337,0.343,0.337,691835000,20334280
0.337,1730390400,2024-11-01 00:00:00,0.339,0.343,0.336,725276200,21390720
0.342,1730304000,2024-10-31 00:00:00,0.34,0.345,0.338,585640700,17137790
0.343,1730217600,2024-10-30 00:00:00,0.345,0.349,0.339,697385300,20327300
0.348,1730131200,2024-10-29 00:00:00,0.36,0.361,0.347,974249500,27669010
0.357,1730044800,2024-10-28 00:00:00,0.352,0.357,0.348,820294400,23199160
0.352,1729785600,2024-10-25 00:00:00,0.339,0.354,0.339,1208646000,34760890
0.341,1729699200,2024-10-24 00:00:00,0.342,0.345,0.339,525450800,15355130
0.345,1729612800,2024-10-23 00:00:00,0.345,0.348,0.34,882332800,25647600
0.344,1729526400,2024-10-22 00:00:00,0.338,0.345,0.337,765420200,22376010
0.339,1729440000,2024-10-21 00:00:00,0.341,0.346,0.333,911680800,26863180
0.34,1729180800,2024-10-18 00:00:00,0.322,0.351,0.321,1212827000,36351460
0.324,1729094400,2024-10-17 00:00:00,0.33,0.332,0.323,572285100,17453590
0.327,1729008000,2024-10-16 00:00:00,0.326,0.332,0.325,660854900,20164920
0.332,1728921600,2024-10-15 00:00:00,0.341,0.344,0.331,725602100,21474920
0.344,1728835200,2024-10-14 00:00:00,0.34,0.344,0.331,920387300,27206460
0.34,1728576000,2024-10-11 00:00:00,0.358,0.358,0.335,1438780000,41889390
0.361,1728489600,2024-10-10 00:00:00,0.366,0.379,0.356,1360804000,37130440
0.362,1728403200,2024-10-09 00:00:00,0.362,0.362,0.362,2412801000,63451150
0.387,1728316800,2024-10-08 00:00:00,0.387,0.387,0.376,1618015000,41958930
0.352,1727625600,2024-09-30 00:00:00,0.338,0.352,0.333,1934607000,56056580
0.321,1727366400,2024-09-27 00:00:00,0.301,0.321,0.301,1119348000,36146660
0.297,1727280000,2024-09-26 00:00:00,0.281,0.297,0.278,1052693000,36873730
0.283,1727193600,2024-09-25 00:00:00,0.282,0.288,0.281,802620100,28249120
0.278,1727107200,2024-09-24 00:00:00,0.271,0.279,0.268,781457800,28494400
0.27,1727020800,2024-09-23 00:00:00,0.274,0.275,0.269,407436700,14988040
0.27,1726761600,2024-09-20 00:00:00,0.272,0.273,0.269,315786600,11672020
0.273,1726675200,2024-09-19 00:00:00,0.269,0.276,0.267,404046700,14855320
0.269,1726588800,2024-09-18 00:00:00,0.271,0.271,0.266,293466200,10938900
0.271,1726156800,2024-09-13 00:00:00,0.273,0.275,0.27,213495600,7833830
0.274,1726070400,2024-09-12 00:00:00,0.275,0.279,0.273,253729900,9187487
0.275,1725984000,2024-09-11 00:00:00,0.272,0.277,0.271,264675600,9648556
0.274,1725897600,2024-09-10 00:00:00,0.274,0.275,0.27,306212200,11253680
0.275,1725811200,2024-09-09 00:00:00,0.274,0.279,0.273,325113700,11779720
0.275,1725552000,2024-09-06 00:00:00,0.28,0.281,0.274,245229600,8877164
0.279,1725465600,2024-09-05 00:00:00,0.277,0.282,0.276,319600800,11428790
0.277,1725379200,2024-09-04 00:00:00,0.273,0.28,0.272,346739300,12542910
0.275,1725292800,2024-09-03 00:00:00,0.272,0.278,0.271,321881400,11711730
0.272,1725206400,2024-09-02 00:00:00,0.28,0.28,0.271,401778500,14604730
0.282,1724947200,2024-08-30 00:00:00,0.276,0.285,0.275,603622700,21499520
0.276,1724860800,2024-08-29 00:00:00,0.269,0.277,0.268,429597300,15719860
0.271,1724774400,2024-08-28 00:00:00,0.269,0.272,0.269,248801200,9207382
0.27,1724688000,2024-08-27 00:00:00,0.271,0.272,0.269,265955700,9841822
0.271,1724601600,2024-08-26 00:00:00,0.274,0.275,0.27,424868600,15646550
0.274,1724342400,2024-08-23 00:00:00,0.275,0.276,0.273,313795600,11439850
0.276,1724256000,2024-08-22 00:00:00,0.281,0.282,0.275,484024600,17427090
0.282,1724169600,2024-08-21 00:00:00,0.284,0.285,0.28,331444100,11747210
0.284,1724083200,2024-08-20 00:00:00,0.289,0.29,0.283,477517700,16741200
0.29,1723996800,2024-08-19 00:00:00,0.291,0.294,0.289,366052800,12588650
0.292,1723737600,2024-08-16 00:00:00,0.292,0.293,0.288,403068600,13864150
0.293,1723651200,2024-08-15 00:00:00,0.291,0.296,0.289,372711400,12738990
0.291,1723564800,2024-08-14 00:00:00,0.295,0.296,0.29,275110300,9427833
0.296,1723478400,2024-08-13 00:00:00,0.298,0.298,0.293,309435300,10507870
0.297,1723392000,2024-08-12 00:00:00,0.296,0.3,0.295,288302300,9682109
0.296,1723132800,2024-08-09 00:00:00,0.302,0.304,0.296,450416500,15064270
0.302,1723046400,2024-08-08 00:00:00,0.3,0.304,0.3,331905900,10991020
0.302,1722960000,2024-08-07 00:00:00,0.304,0.304,0.3,351037300,11636700
0.305,1722873600,2024-08-06 00:00:00,0.301,0.306,0.3,460566500,15204190
0.299,1722787200,2024-08-05 00:00:00,0.298,0.307,0.298,570046000,18848260
0.3,1722528000,2024-08-02 00:00:00,0.295,0.307,0.295,652895600,21606240
0.297,1722441600,2024-08-01 00:00:00,0.3,0.302,0.295,411902900,13834790
0.3,1722355200,2024-07-31 00:00:00,0.285,0.301,0.284,749985900,25451440
0.286,1722268800,2024-07-30 00:00:00,0.286,0.289,0.284,352248400,12311750
0.285,1722182400,2024-07-29 00:00:00,0.291,0.292,0.285,325678300,11322400
0.291,1721923200,2024-07-26 00:00:00,0.29,0.293,0.288,293843800,10110940
0.289,1721836800,2024-07-25 00:00:00,0.287,0.292,0.286,306869900,10592460
0.288,1721750400,2024-07-24 00:00:00,0.292,0.294,0.287,361225400,12453830
